,LotFrontage,MasVnrArea,GarageYrBlt,Alley,MasVnrType,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Electrical,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PoolQC,Fence,MiscFeature
27,98.0,200.0,2008.0,Grvl,Stone,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
28,47.0,0.0,1957.0,Grvl,None,TA,TA,Gd,BLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
29,60.0,0.0,1920.0,Grvl,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,Fa,TA,missing,missing,missing
30,50.0,0.0,1920.0,Pave,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,Fa,missing,MnPrv,missing
31,70.04995836802665,0.0,1966.0,Grvl,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,MnPrv,missing
32,85.0,0.0,2007.0,Grvl,None,Ex,TA,Av,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
33,70.0,0.0,1959.0,Grvl,None,TA,TA,No,Rec,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
34,60.0,246.0,2005.0,Grvl,BrkFace,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
35,108.0,132.0,2004.0,Grvl,Stone,Ex,TA,Av,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA,missing,missing,missing
36,112.0,0.0,1995.0,Grvl,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,missing,missing
37,74.0,650.0,1954.0,Grvl,BrkFace,TA,TA,No,Rec,Unf,SBrkr,TA,Attchd,Fin,TA,TA,missing,missing,missing
38,68.0,0.0,1953.0,Grvl,None,TA,TA,No,GLQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
39,65.0,0.0,1980.0,Grvl,None,TA,TA,No,Unf,Unf,FuseP,Gd,missing,missing,missing,missing,missing,missing,missing
40,84.0,101.0,1965.0,Grvl,BrkFace,TA,TA,No,Rec,Unf,SBrkr,TA,Attchd,RFn,TA,TA,missing,GdWo,missing
41,115.0,0.0,1959.0,Grvl,None,TA,TA,Gd,BLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
42,70.04995836802665,0.0,1983.0,Grvl,None,Gd,TA,Av,ALQ,LwQ,SBrkr,Gd,Attchd,RFn,TA,Gd,missing,MnPrv,missing
43,70.04995836802665,0.0,1977.0,Grvl,None,Gd,TA,Av,LwQ,BLQ,SBrkr,Gd,Detchd,Unf,TA,TA,missing,MnPrv,missing
44,70.0,0.0,1959.0,Grvl,None,TA,TA,No,ALQ,BLQ,FuseA,Gd,Attchd,RFn,TA,TA,missing,missing,missing
45,61.0,412.0,2005.0,Grvl,BrkFace,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
46,48.0,0.0,2003.0,Grvl,None,Ex,TA,No,GLQ,Unf,SBrkr,Ex,Attchd,RFn,TA,TA,missing,missing,missing
47,84.0,0.0,2006.0,Grvl,None,Gd,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
48,33.0,0.0,1980.0,Grvl,None,TA,TA,No,Unf,Unf,SBrkr,Gd,missing,missing,missing,missing,missing,missing,missing
49,66.0,0.0,1966.0,Grvl,None,TA,TA,No,BLQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,MnPrv,missing
50,70.04995836802665,0.0,1997.0,Grvl,None,Gd,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
51,52.0,0.0,1985.0,Grvl,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,MnPrv,Shed
52,110.0,0.0,1963.0,Grvl,None,Gd,TA,Gd,LwQ,GLQ,SBrkr,Gd,CarPort,Unf,TA,TA,missing,missing,missing
53,68.0,0.0,1981.0,Grvl,None,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
54,60.0,0.0,1962.0,Grvl,None,TA,TA,No,ALQ,Unf,SBrkr,TA,Detchd,Unf,TA,TA,missing,MnPrv,missing
55,100.0,272.0,1964.0,Grvl,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
56,24.0,456.0,1999.0,Pave,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
57,89.0,0.0,2004.0,Grvl,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
58,66.0,1031.0,2006.0,Grvl,BrkFace,Ex,TA,Gd,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA,missing,missing,missing
59,60.0,0.0,1973.0,Grvl,None,TA,TA,Av,ALQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,MnPrv,missing
60,63.0,0.0,2006.0,Grvl,None,Gd,TA,No,ALQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
61,60.0,0.0,1935.0,Grvl,None,TA,Fa,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
62,44.0,178.0,2006.0,Grvl,Stone,Gd,Gd,Mn,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
63,50.0,0.0,1990.0,Grvl,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,GdPrv,missing
64,70.04995836802665,573.0,1998.0,Grvl,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,GdPrv,missing
65,76.0,344.0,2004.0,Grvl,BrkFace,Ex,TA,Av,Unf,Unf,SBrkr,Gd,BuiltIn,RFn,TA,TA,missing,missing,missing
66,70.04995836802665,287.0,1970.0,Grvl,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
67,72.0,167.0,2003.0,Grvl,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
68,47.0,0.0,1945.0,Grvl,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,missing,missing
69,81.0,0.0,1953.0,Grvl,None,TA,TA,No,BLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA,missing,missing,missing
70,95.0,1115.0,1973.0,Grvl,BrkFace,Gd,TA,Gd,ALQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
71,69.0,0.0,1987.0,Grvl,None,TA,TA,No,ALQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
72,74.0,40.0,1998.0,Grvl,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Fin,TA,TA,missing,missing,missing
73,85.0,104.0,1989.0,Grvl,BrkFace,TA,TA,No,ALQ,BLQ,SBrkr,Gd,Attchd,Unf,TA,TA,missing,GdWo,missing
74,60.0,0.0,1915.0,Grvl,None,Fa,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
75,21.0,0.0,1973.0,Grvl,None,Gd,TA,Gd,GLQ,Unf,SBrkr,Gd,BuiltIn,Unf,TA,TA,missing,GdWo,missing
76,70.04995836802665,0.0,1956.0,Grvl,None,TA,TA,No,ALQ,Unf,FuseA,Gd,Detchd,Unf,TA,TA,missing,missing,missing
77,50.0,0.0,1948.0,Grvl,None,TA,TA,No,BLQ,GLQ,SBrkr,Gd,Detchd,Unf,TA,TA,missing,MnPrv,missing
78,72.0,0.0,1980.0,Grvl,None,TA,TA,No,Unf,Unf,SBrkr,Gd,missing,missing,missing,missing,missing,missing,missing
79,60.0,0.0,1966.0,Grvl,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,MnPrv,missing
80,100.0,576.0,1968.0,Grvl,BrkFace,Gd,TA,No,Rec,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
81,32.0,443.0,1998.0,Grvl,BrkFace,Ex,Gd,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
82,78.0,468.0,2007.0,Grvl,Stone,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
83,80.0,66.0,1974.0,Grvl,BrkCmn,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
84,70.04995836802665,22.0,1995.0,Grvl,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA,missing,missing,Shed
85,121.0,284.0,1991.0,Grvl,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Unf,TA,TA,missing,missing,missing
86,122.0,0.0,2005.0,Grvl,None,Gd,TA,Av,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA,missing,missing,missing
87,40.0,76.0,2009.0,Pave,Stone,Gd,TA,Av,Unf,Unf,SBrkr,Gd,Detchd,RFn,TA,TA,missing,missing,missing
88,105.0,0.0,1980.0,Grvl,None,TA,Fa,No,Unf,Unf,SBrkr,Gd,missing,missing,missing,missing,missing,MnPrv,missing
89,60.0,0.0,1980.0,Grvl,None,Gd,TA,No,GLQ,Unf,SBrkr,Gd,missing,missing,missing,missing,missing,missing,missing
90,60.0,0.0,1950.0,Grvl,None,TA,TA,No,Unf,Unf,FuseA,Gd,Detchd,Unf,TA,TA,missing,missing,missing
91,85.0,203.0,1961.0,Grvl,BrkCmn,TA,TA,No,Rec,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,GdWo,missing
92,80.0,0.0,1921.0,Grvl,None,Gd,TA,No,ALQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
93,60.0,0.0,1900.0,Grvl,None,TA,Fa,Mn,Rec,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
94,69.0,0.0,1997.0,Grvl,None,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
95,70.04995836802665,68.0,1993.0,Grvl,BrkFace,Gd,Gd,No,ALQ,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA,missing,missing,Shed
96,78.0,183.0,1999.0,Grvl,BrkFace,Gd,TA,Av,ALQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
97,73.0,48.0,1965.0,Grvl,BrkFace,TA,TA,No,Rec,Unf,FuseF,Gd,Attchd,Fin,TA,TA,missing,missing,missing
98,85.0,0.0,1920.0,Grvl,None,TA,TA,No,ALQ,Unf,SBrkr,Gd,Basment,Unf,Fa,TA,missing,missing,Shed
99,77.0,0.0,1980.0,Grvl,None,TA,TA,No,ALQ,Unf,SBrkr,Gd,missing,missing,missing,missing,missing,missing,Shed
100,70.04995836802665,28.0,1977.0,Grvl,BrkFace,TA,TA,Mn,ALQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA,missing,missing,missing
101,77.0,336.0,1985.0,Grvl,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Fin,TA,TA,missing,missing,missing
102,64.0,0.0,1979.0,Grvl,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,missing,missing
103,94.0,0.0,2009.0,Grvl,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
104,70.04995836802665,600.0,1951.0,Grvl,BrkFace,TA,TA,No,LwQ,Unf,FuseF,TA,Detchd,Unf,TA,TA,missing,missing,missing
105,75.0,768.0,2003.0,Grvl,BrkFace,Ex,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
106,60.0,0.0,1954.0,Grvl,None,Fa,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,Fa,Fa,missing,missing,Shed
107,50.0,0.0,1948.0,Grvl,None,TA,TA,No,ALQ,BLQ,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
108,85.0,0.0,1980.0,Grvl,None,TA,TA,No,Unf,Unf,FuseF,Gd,missing,missing,missing,missing,missing,missing,missing
109,105.0,480.0,1977.0,Grvl,BrkFace,Gd,TA,No,BLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA,missing,MnPrv,missing
110,75.0,0.0,1954.0,Grvl,None,TA,Fa,No,Rec,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,missing,missing
111,70.04995836802665,0.0,2000.0,Grvl,None,Gd,TA,No,GLQ,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA,missing,missing,missing
112,77.0,220.0,2007.0,Grvl,Stone,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA,missing,missing,missing
113,70.04995836802665,184.0,1953.0,Grvl,BrkFace,Gd,TA,Mn,ALQ,Rec,SBrkr,Gd,Basment,Unf,TA,TA,missing,MnPrv,missing
114,61.0,0.0,1945.0,Grvl,None,TA,TA,No,ALQ,LwQ,SBrkr,TA,Detchd,Unf,TA,TA,missing,MnPrv,missing
115,34.0,1129.0,1999.0,Pave,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,Fa,Detchd,Unf,TA,TA,missing,missing,missing
116,70.04995836802665,116.0,1962.0,Grvl,BrkFace,TA,TA,No,LwQ,BLQ,SBrkr,Po,Attchd,Unf,TA,TA,missing,missing,missing
117,74.0,0.0,2007.0,Grvl,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,missing,missing
118,90.0,0.0,1990.0,Grvl,None,Gd,TA,Mn,GLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA,missing,missing,missing
119,65.0,0.0,2005.0,Grvl,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
120,70.04995836802665,0.0,1969.0,Grvl,None,TA,TA,Gd,ALQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA,missing,missing,missing
121,50.0,0.0,1979.0,Grvl,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,MnPrv,missing
122,75.0,135.0,1958.0,Grvl,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,missing,missing
123,55.0,0.0,1993.0,Grvl,None,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
124,48.0,0.0,1979.0,Grvl,None,Gd,Fa,No,Unf,Unf,SBrkr,TA,Attchd,Unf,TA,TA,missing,missing,missing
125,60.0,0.0,1980.0,Grvl,None,TA,TA,Av,GLQ,Unf,SBrkr,Gd,missing,missing,missing,missing,missing,missing,missing
126,70.04995836802665,0.0,1977.0,Grvl,None,Gd,TA,No,ALQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA,missing,missing,missing
127,55.0,0.0,1980.0,Grvl,None,TA,TA,No,LwQ,Unf,SBrkr,TA,missing,missing,missing,missing,missing,missing,missing
128,69.0,266.0,1966.0,Grvl,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,Fa,Attchd,RFn,TA,TA,missing,missing,missing
129,69.0,85.0,1998.0,Grvl,BrkFace,TA,TA,No,Rec,BLQ,FuseA,Gd,2Types,RFn,TA,TA,missing,MnWw,missing
130,88.0,309.0,1966.0,Grvl,BrkFace,TA,TA,No,Rec,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,GdPrv,missing
131,70.04995836802665,40.0,2000.0,Grvl,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,BuiltIn,RFn,TA,TA,missing,missing,missing
132,75.0,0.0,1974.0,Grvl,None,TA,TA,No,Rec,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
133,70.04995836802665,136.0,2001.0,Grvl,BrkFace,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
134,78.0,0.0,1968.0,Grvl,None,TA,TA,No,Rec,Unf,SBrkr,TA,Attchd,RFn,TA,TA,missing,MnPrv,missing
135,80.0,288.0,1970.0,Grvl,BrkFace,TA,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,MnPrv,missing
136,70.04995836802665,196.0,1967.0,Grvl,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,Fa,Attchd,RFn,TA,TA,missing,missing,missing
137,82.0,70.0,1989.0,Grvl,BrkFace,TA,TA,No,Unf,Unf,SBrkr,Gd,2Types,Unf,TA,TA,missing,missing,missing
138,73.0,320.0,1999.0,Grvl,BrkFace,Gd,TA,Mn,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA,missing,GdPrv,missing
139,65.0,0.0,1997.0,Grvl,None,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,MnPrv,missing
140,70.0,0.0,1980.0,Grvl,None,TA,TA,No,ALQ,Unf,SBrkr,Po,missing,missing,missing,missing,missing,missing,missing
141,78.0,0.0,2005.0,Grvl,None,Gd,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
142,71.0,0.0,2000.0,Grvl,None,TA,TA,No,Rec,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,MnPrv,missing
143,78.0,183.0,1999.0,Grvl,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
144,70.0,336.0,1963.0,Grvl,BrkFace,TA,TA,No,Rec,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
145,24.0,50.0,2004.0,Grvl,Stone,Gd,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
146,51.0,0.0,1931.0,Grvl,None,TA,TA,No,BLQ,Unf,FuseA,Gd,Detchd,Unf,Fa,TA,missing,missing,missing
147,70.04995836802665,180.0,2001.0,Grvl,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA,missing,missing,missing
148,63.0,120.0,1980.0,Grvl,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,Gd,missing,missing,missing,missing,missing,missing,missing
149,70.04995836802665,0.0,1936.0,Grvl,None,Gd,TA,No,Unf,Unf,FuseA,Gd,Detchd,Unf,Fa,TA,missing,missing,missing
150,120.0,0.0,1975.0,Grvl,None,TA,TA,Av,BLQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,MnPrv,missing
151,107.0,436.0,2007.0,Grvl,Stone,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
152,70.04995836802665,252.0,1971.0,Grvl,BrkFace,TA,TA,No,Rec,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,GdWo,missing
153,70.04995836802665,0.0,1960.0,Grvl,None,Gd,TA,Gd,BLQ,ALQ,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
154,84.0,0.0,1923.0,Grvl,None,TA,TA,No,Unf,Unf,FuseA,Gd,Detchd,Unf,Fa,Fa,missing,missing,missing
155,60.0,0.0,1980.0,Grvl,None,TA,TA,No,Unf,Unf,FuseF,Gd,missing,missing,missing,missing,missing,missing,missing
156,60.0,0.0,1950.0,Grvl,None,TA,TA,No,Unf,Unf,FuseF,Gd,Detchd,Unf,TA,TA,missing,missing,missing
157,92.0,84.0,2009.0,Grvl,BrkFace,Ex,TA,No,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA,missing,missing,missing
158,100.0,0.0,2004.0,Grvl,None,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,GdWo,missing
159,134.0,456.0,2006.0,Grvl,BrkFace,Gd,TA,Mn,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
160,70.04995836802665,0.0,1984.0,Grvl,None,Gd,TA,No,BLQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,missing,missing
161,110.0,664.0,2003.0,Grvl,BrkFace,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA,missing,missing,missing
162,95.0,226.0,2005.0,Grvl,BrkFace,Gd,TA,Mn,BLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
163,55.0,0.0,1980.0,Grvl,None,TA,TA,No,Unf,Unf,SBrkr,Gd,missing,missing,missing,missing,missing,MnPrv,missing
164,40.0,0.0,1926.0,Pave,None,TA,TA,Mn,LwQ,Unf,FuseA,Gd,Detchd,Unf,TA,TA,missing,missing,missing
165,62.0,0.0,1980.0,Grvl,None,TA,TA,No,ALQ,Rec,SBrkr,Gd,missing,missing,missing,missing,missing,missing,missing
166,70.04995836802665,0.0,1955.0,Grvl,None,TA,TA,No,LwQ,BLQ,FuseA,Gd,Attchd,Fin,TA,TA,missing,GdWo,missing
167,86.0,300.0,2007.0,Grvl,Stone,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
168,62.0,0.0,2004.0,Grvl,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
169,70.04995836802665,653.0,1981.0,Grvl,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA,missing,missing,missing
170,70.04995836802665,0.0,1991.0,Grvl,None,TA,TA,No,Rec,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
171,141.0,112.0,1960.0,Grvl,Stone,TA,Gd,Gd,BLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
172,44.0,0.0,1987.0,Grvl,None,Gd,Gd,No,GLQ,Rec,SBrkr,TA,Attchd,RFn,Gd,TA,missing,missing,missing
173,80.0,491.0,1961.0,Grvl,BrkCmn,TA,TA,No,ALQ,Rec,SBrkr,TA,Attchd,Unf,TA,TA,missing,missing,missing
174,47.0,132.0,1986.0,Grvl,Stone,Gd,Fa,No,ALQ,LwQ,SBrkr,TA,Attchd,Fin,TA,TA,missing,missing,missing
175,84.0,0.0,1950.0,Grvl,None,TA,Gd,Av,ALQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,MnPrv,missing
176,97.0,268.0,1988.0,Grvl,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA,missing,missing,missing
177,70.04995836802665,0.0,1958.0,Grvl,None,TA,TA,No,ALQ,BLQ,SBrkr,Gd,Attchd,Unf,TA,TA,missing,missing,missing
178,63.0,748.0,2009.0,Grvl,Stone,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA,missing,missing,missing
179,60.0,0.0,1935.0,Grvl,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,Fa,TA,missing,missing,missing
